metric,n,mean,std,se,median,iqr_low,iqr_high,iqr,ci_lo,ci_hi,loss_rate,max_abs,agent_type,level
full_objective,100,42.3860806889688,44.91380311640671,4.491380311640671,49.10404589966885,24.936351018618296,66.91801451637775,41.981663497759456,33.582975278153086,51.18918609978452,0.1,132.57539005211189,belief_weighted,pooled_all_seeds
raw_pnl,100,42.599159538968806,44.84043215696189,4.484043215696189,49.17591089966884,24.974964143618294,67.36860701637775,42.39364287275946,33.81043483620428,51.38788424173333,0.1,132.0561675521119,belief_weighted,pooled_all_seeds
mean_abs_inventory,100,3.232305,1.8099964896095766,0.18099964896095766,2.4696249999999997,2.0364999999999998,4.1449375,2.1084375000000004,2.8775456880365233,3.587064311963477,0.0,10.16325,belief_weighted,pooled_all_seeds
terminal_abs_inventory,100,4.54,3.2142988616053065,0.32142988616053064,4.0,2.0,6.0,4.0,3.9099974231253602,5.17000257687464,0.0,13.0,belief_weighted,pooled_all_seeds
full_objective,100,26.185754455648908,103.01059594696585,10.301059594696586,34.154258558311426,-17.246473942979716,65.0471020598826,82.29357600286232,5.9956776500436,46.37583126125422,0.32,437.71146279305276,hamilton_ppo,pooled_all_seeds
raw_pnl,100,27.160610130648898,102.74867134547061,10.274867134547062,34.740573455648246,-16.53754769297973,65.89339575326926,82.43094344624899,7.021870546936658,47.29934971436114,0.32,439.26109279305274,hamilton_ppo,pooled_all_seeds
mean_abs_inventory,100,7.4101775000000005,3.95023819753843,0.39502381975384304,7.176500000000001,4.9169375,9.4700625,4.553124999999999,6.635930813282468,8.184424186717532,0.0,21.4965,hamilton_ppo,pooled_all_seeds
terminal_abs_inventory,100,10.35,5.784645297001469,0.578464529700147,10.0,6.75,14.0,7.25,9.216209521787711,11.483790478212288,0.0,34.0,hamilton_ppo,pooled_all_seeds
full_objective,100,38.83312059380005,65.94418939877636,6.594418939877636,48.17320495310233,20.784248588239556,70.99191564002645,50.20766705178689,25.90805947163988,51.75818171596021,0.15,218.66224476854376,naive,pooled_all_seeds
raw_pnl,100,39.24004394380004,65.80811984825974,6.580811984825973,48.4898117087743,21.014658588239556,71.17231501502646,50.1576564267869,26.34165245354113,52.13843543405895,0.15,219.55221976854375,naive,pooled_all_seeds
mean_abs_inventory,100,4.447970000000001,2.4033171529106907,0.24033171529106906,3.9913749999999997,2.43225,5.935375,3.503125,3.9769198380295054,4.919020161970496,0.0,11.49,naive,pooled_all_seeds
terminal_abs_inventory,100,6.3,4.77472300746125,0.477472300746125,5.0,2.75,9.0,6.25,5.364154290537595,7.235845709462405,0.0,20.0,naive,pooled_all_seeds
full_objective,100,42.43982285627795,44.44036036841294,4.444036036841294,48.21148543878324,20.743875742089333,65.5166955398515,44.77281979776217,33.72951222406901,51.15013348848689,0.1,189.10725019686058,oracle,pooled_all_seeds
raw_pnl,100,42.65844395627795,44.31329600953715,4.431329600953715,48.31190668878324,21.04305373283657,65.5646255398515,44.521571807014936,33.973037938408666,51.34384997414723,0.1,186.81726019686062,oracle,pooled_all_seeds
mean_abs_inventory,100,3.240710000000001,1.9341528770806073,0.19341528770806074,2.803875,1.99325,3.8513124999999997,1.8580624999999997,2.861616036092202,3.6198039639078,0.0,13.5285,oracle,pooled_all_seeds
terminal_abs_inventory,100,4.35,3.430036663820303,0.3430036663820303,4.0,1.75,6.25,4.5,3.6777128138912203,5.022287186108779,0.0,17.0,oracle,pooled_all_seeds
full_objective,100,40.6570061296702,47.361391756062964,4.736139175606296,46.47949946158998,22.26581219719013,67.1717946300047,44.90598243281457,31.37417334548186,49.93983891385854,0.1,171.01652118810787,randomised,pooled_all_seeds
