metric,n,mean,std,se,median,iqr_low,iqr_high,iqr,ci_lo,ci_hi,loss_rate,max_abs,agent_type,level
full_objective,30,50.86978805531557,38.72429766675857,7.070057118542779,56.042535854280736,28.692051396782528,75.20797984888466,46.51592845210213,37.01247610297172,64.72710000765942,0.06666666666666667,110.7438467293357,belief_weighted,pooled_all_seeds
raw_pnl,30,51.03703055531555,38.7085983293177,7.067190824791364,56.10872085428073,29.098080771782524,75.28274109888469,46.184660327102165,37.18533653872448,64.88872457190662,0.06666666666666667,110.95431672933569,belief_weighted,pooled_all_seeds
mean_abs_inventory,30,2.87265,1.440287663736083,0.26295934757488937,2.263375,1.8933125,3.5474375,1.654125,2.357249678753217,3.388050321246783,0.0,6.18825,belief_weighted,pooled_all_seeds
terminal_abs_inventory,30,4.233333333333333,3.0589984086899777,0.5584941439373027,3.5,2.0,6.0,4.0,3.13868481121622,5.327981855450447,0.0,11.0,belief_weighted,pooled_all_seeds
full_objective,30,44.86665227213372,77.41116325572759,14.133280105959019,60.25507982397229,26.475837355915935,82.4169347539819,55.94109739806597,17.165423264454045,72.56788127981339,0.13333333333333333,293.9729878975726,naive,pooled_all_seeds
raw_pnl,30,45.23252802213373,77.04540781436134,14.066502604036835,60.41145107397229,26.638591730915934,82.63770036360856,55.999108632692625,17.662182918221532,72.80287312604592,0.13333333333333333,291.07653539757257,naive,pooled_all_seeds
mean_abs_inventory,30,4.029441666666666,2.6505681675263553,0.48392532518643894,3.18175,2.262,4.8428125,2.5808125,3.080948029301246,4.977935304032086,0.0,13.34325,naive,pooled_all_seeds
terminal_abs_inventory,30,6.1,4.9154927490046445,0.8974420866276411,5.0,3.0,8.0,5.0,4.341013510209823,7.858986489790176,0.0,24.0,naive,pooled_all_seeds
full_objective,30,50.95591047202061,38.955122003217014,7.112199683842597,53.783758897255744,30.48167182189443,78.46631912537046,47.98464730347603,37.015999091689125,64.8958218523521,0.1,118.01299303698744,oracle,pooled_all_seeds
raw_pnl,30,51.124487722020625,38.94970966855691,7.111211531248562,53.82569264725574,30.77171744689442,78.67110725037047,47.89938980347605,37.18651312077344,65.06246232326781,0.1,118.33091553698743,oracle,pooled_all_seeds
mean_abs_inventory,30,2.883608333333333,1.456074617503686,0.26584163780582515,2.366,1.7801875,3.8998125000000003,2.119625,2.362558723233916,3.4046579434327504,0.0,6.1235,oracle,pooled_all_seeds
terminal_abs_inventory,30,4.3,3.228643357671219,0.5894669323785823,4.0,2.0,5.75,3.75,3.1446448125379787,5.455355187462021,0.0,14.0,oracle,pooled_all_seeds
full_objective,30,49.506781372193025,40.25877140044835,7.35021241115647,51.55449687866452,32.02651851487966,72.69426728367581,40.66774876879615,35.100365046326345,63.913197698059705,0.06666666666666667,111.05474419538555,randomised,pooled_all_seeds
raw_pnl,30,49.67928912219301,40.21916165220713,7.342980693620197,51.596071878664524,32.04888726487966,72.73732853367581,40.68844126879615,35.287046962697424,64.07153128168859,0.06666666666666667,111.27660419538556,randomised,pooled_all_seeds
mean_abs_inventory,30,2.849608333333334,1.6186554494864864,0.29552470083747084,2.416625,1.8155000000000001,3.9591875,2.1436875,2.2703799196918912,3.428836746974777,0.0,6.81925,randomised,pooled_all_seeds
terminal_abs_inventory,30,4.233333333333333,3.430927624974927,0.6263988177887975,4.0,1.0,6.5,5.5,3.0055916504672906,5.461075016199376,0.0,12.0,randomised,pooled_all_seeds
full_objective,30,29.900737213539127,47.502526564836025,8.672735112683027,22.34525155411459,8.251469390591788,55.01494575795034,46.76347636735856,12.902176392680396,46.89929803439786,0.13333333333333333,197.1341973746901,return_lstm_ppo,pooled_all_seeds
raw_pnl,30,30.107206463539125,47.5436421396702,8.680241755283516,22.480869054114592,8.343229390591787,55.386702632950346,47.04347324235856,13.093932623183434,47.120480303894816,0.13333333333333333,197.6829573746901,return_lstm_ppo,pooled_all_seeds
mean_abs_inventory,30,3.1412916666666666,1.3740977479964265,0.2508747775982306,3.140625,2.3475,4.1628750000000005,1.8153750000000004,2.649577102574135,3.6330062307591984,0.0,6.154,return_lstm_ppo,pooled_all_seeds
terminal_abs_inventory,30,6.533333333333333,2.738402924098761,0.4999616843556662,7.0,5.0,8.75,3.75,5.553408431996227,7.513258234670439,0.0,11.0,return_lstm_ppo,pooled_all_seeds
